name,amount,date,category,type,status
Electricity Bill,4738,2024-04-30,Investment,debit,failed
Salary,37311,2025-02-18,Income,credit,success
Salary,48459,2025-02-13,Income,credit,success
Electricity Bill,242,2025-02-09,Bills,debit,failed
Salary,36764,2024-10-24,Income,credit,failed
Amazon,3943,2024-11-23,Bills,debit,success
Swiggy,3986,2024-05-18,Bills,debit,failed
Salary,57219,2025-01-16,Income,credit,success
Salary,56278,2025-03-24,Income,credit,success
Salary,23263,2024-09-22,Income,credit,failed
Electricity Bill,2837,2024-04-18,Entertainment,debit,success
Salary,58549,2024-07-24,Income,credit,failed
Fuel,1635,2024-08-26,Salary,debit,success
Salary,2413,2024-07-15,Health,debit,failed
Salary,1209,2025-01-25,Travel,debit,success
Pharmacy,2203,2024-10-30,Entertainment,debit,failed
Salary,4545,2024-10-31,Bills,debit,success
Salary,53332,2024-05-26,Income,credit,success
Swiggy,3133,2024-06-15,Shopping,debit,success
Salary,59743,2024-05-17,Income,credit,success
Amazon,873,2024-12-15,Bills,debit,failed
Salary,1932,2024-12-08,Shopping,debit,success
Swiggy,2996,2024-11-28,Investment,debit,failed
Flipkart,2931,2025-02-22,Entertainment,debit,failed
Salary,76957,2025-02-06,Income,credit,success
Zomato,1462,2024-03-30,Entertainment,debit,failed
Fuel,1922,2025-05-04,Bills,debit,success
Netflix,1630,2025-01-12,Investment,debit,failed
Amazon,1430,2024-02-10,Entertainment,debit,success
Salary,43181,2024-04-04,Income,credit,success
Electricity Bill,2227,2025-01-17,Bills,debit,failed
Salary,23704,2025-04-02,Income,credit,failed
Amazon,4748,2025-02-06,Food,debit,success
Salary,53312,2024-01-11,Income,credit,failed
Salary,76317,2024-12-19,Income,credit,success
Salary,41958,2024-09-13,Income,credit,failed
Uber,3605,2024-07-08,Shopping,debit,failed
Swiggy,1647,2025-03-02,Entertainment,debit,failed
Amazon,1161,2024-08-24,Investment,debit,failed
Netflix,698,2024-08-16,Investment,debit,failed
Salary,23502,2024-03-23,Income,credit,success
Salary,58605,2024-07-25,Income,credit,failed
Salary,30556,2025-03-09,Income,credit,failed
Salary,4502,2024-06-13,Bills,debit,failed
Salary,72017,2024-02-09,Income,credit,failed
Salary,32468,2024-12-20,Income,credit,failed
Netflix,4196,2024-08-06,Food,debit,success
Salary,60574,2024-08-14,Income,credit,success
Uber,4723,2024-07-30,Travel,debit,failed
Salary,78311,2024-10-04,Income,credit,failed
Salary,67449,2024-03-01,Income,credit,failed
Salary,33227,2024-06-07,Income,credit,failed
Fuel,4810,2025-06-22,Food,debit,failed
Salary,34820,2024-04-05,Income,credit,success
Pharmacy,797,2024-05-20,Salary,debit,failed
Salary,32431,2025-04-21,Income,credit,failed
Zomato,3429,2024-11-27,Shopping,debit,failed
Salary,56254,2025-02-10,Income,credit,failed
Uber,3902,2024-09-07,Food,debit,success
Salary,68864,2024-11-20,Income,credit,failed
Salary,47526,2025-06-03,Income,credit,success
Fuel,1933,2025-05-20,Health,debit,success
Netflix,3147,2024-04-11,Shopping,debit,success
Salary,74397,2024-12-10,Income,credit,success
Zomato,1781,2024-04-18,Entertainment,debit,failed
Salary,48262,2024-08-25,Income,credit,success
Salary,50173,2024-08-08,Income,credit,success
Zomato,1448,2024-08-11,Food,debit,success
Salary,68624,2024-03-13,Income,credit,failed
Salary,55806,2024-08-29,Income,credit,success
Amazon,976,2024-02-18,Bills,debit,success
Salary,71827,2024-04-16,Income,credit,failed
Flipkart,4067,2024-03-21,Investment,debit,success
Pharmacy,3535,2024-07-21,Health,debit,success
Pharmacy,3248,2024-01-15,Salary,debit,success
Amazon,3729,2024-06-09,Shopping,debit,success
Salary,46459,2024-06-16,Income,credit,failed
Salary,53880,2024-04-08,Income,credit,success
Salary,52052,2025-04-17,Income,credit,failed
Amazon,3735,2024-06-21,Food,debit,failed
