name,amount,date,category,type,status
Health,1867,2024-10-22,Health,credit,success
Food,4262,2024-07-25,Food,credit,success
Travel,997,2024-09-14,Travel,debit,failed
Salary,75385,2024-06-17,Salary,credit,success
Salary,48762,2024-08-17,Salary,credit,success
Entertainment,3541,2024-10-22,Entertainment,credit,failed
Entertainment,3722,2025-03-13,Entertainment,debit,success
Salary,68475,2024-01-05,Salary,credit,failed
Food,1818,2024-03-28,Food,credit,success
Entertainment,7669,2024-10-28,Entertainment,credit,failed
Shopping,7128,2024-08-27,Shopping,credit,failed
Travel,6027,2024-05-05,Travel,debit,success
Salary,77444,2025-02-26,Salary,credit,success
Shopping,8483,2024-07-13,Shopping,debit,success
Travel,9600,2024-08-21,Travel,debit,success
Bills,7906,2024-09-11,Bills,credit,failed
Health,5392,2024-07-28,Health,debit,failed
Entertainment,1038,2024-04-09,Entertainment,credit,success
Food,8206,2024-07-26,Food,credit,failed
Shopping,7620,2024-09-21,Shopping,credit,success
Travel,1477,2024-03-16,Travel,debit,success
Health,6746,2024-01-07,Health,debit,success
Entertainment,4276,2024-07-01,Entertainment,credit,success
Shopping,7793,2024-02-14,Shopping,debit,failed
Food,3989,2024-01-30,Food,debit,success
Health,5342,2024-04-29,Health,debit,failed
Entertainment,9122,2024-02-23,Entertainment,credit,success
Food,8522,2024-12-03,Food,debit,failed
Transfer,9504,2024-06-20,Transfer,debit,success
Transfer,8719,2024-08-24,Transfer,credit,success
Bills,9659,2024-05-06,Bills,credit,success
Food,3588,2025-03-14,Food,credit,failed
Health,7168,2024-11-14,Health,credit,failed
Shopping,5318,2024-06-13,Shopping,debit,success
Salary,52721,2024-07-02,Salary,credit,success
Health,3999,2025-03-20,Health,credit,success
Bills,1904,2024-02-16,Bills,debit,failed
Shopping,1252,2024-06-11,Shopping,debit,failed
Shopping,8796,2024-01-09,Shopping,credit,failed
Entertainment,3263,2025-02-07,Entertainment,debit,failed
Salary,69158,2024-09-20,Salary,credit,success
Salary,46085,2024-04-24,Salary,credit,success
Travel,9677,2024-02-15,Travel,credit,success
Entertainment,6782,2024-01-08,Entertainment,debit,failed
Health,436,2024-05-25,Health,credit,success
Shopping,3098,2024-08-08,Shopping,debit,failed
Bills,8538,2024-05-29,Bills,debit,success
Health,2912,2024-11-04,Health,credit,success
Food,5631,2024-02-03,Food,debit,success
Shopping,8729,2024-05-07,Shopping,credit,success
Travel,1688,2024-11-11,Travel,debit,failed
Food,7295,2024-05-09,Food,debit,failed
Shopping,4462,2025-02-05,Shopping,debit,success
Salary,30643,2024-02-11,Salary,credit,success
Entertainment,4533,2024-06-15,Entertainment,debit,success
Bills,3014,2025-02-12,Bills,credit,success
Travel,7152,2024-04-17,Travel,debit,success
Health,6686,2024-08-30,Health,credit,failed
Transfer,8301,2024-09-27,Transfer,credit,failed
Bills,1118,2024-02-01,Bills,credit,failed
Food,9738,2024-07-21,Food,debit,failed
Shopping,1005,2025-01-08,Shopping,credit,failed
Health,332,2025-01-10,Health,credit,failed
Transfer,6043,2024-02-03,Transfer,credit,failed
Travel,846,2024-02-03,Travel,credit,failed
Entertainment,1541,2024-01-28,Entertainment,credit,failed
Food,9246,2025-03-19,Food,credit,success
Bills,3706,2024-04-17,Bills,debit,success
Food,9777,2024-07-22,Food,credit,failed
Entertainment,3168,2024-01-20,Entertainment,debit,success
Travel,5144,2024-10-01,Travel,credit,success
Travel,2486,2024-07-22,Travel,credit,success
Food,8261,2024-05-20,Food,debit,failed
Bills,3626,2024-05-11,Bills,debit,success
Transfer,8703,2024-10-01,Transfer,debit,failed
Travel,318,2025-04-01,Travel,credit,failed
Transfer,1761,2024-05-26,Transfer,credit,failed
Food,9162,2024-06-18,Food,credit,failed
Transfer,1683,2024-06-17,Transfer,credit,failed
Transfer,2746,2024-03-02,Transfer,credit,success
Travel,3730,2024-03-10,Travel,credit,failed
Food,3275,2024-05-11,Food,debit,failed
Health,2930,2025-04-01,Health,debit,failed
Food,9849,2024-07-18,Food,debit,success
Food,2445,2024-04-13,Food,credit,success
Travel,2894,2024-09-23,Travel,credit,success
Transfer,9857,2024-07-20,Transfer,credit,failed
Entertainment,5147,2025-01-26,Entertainment,debit,failed
Travel,1130,2025-02-10,Travel,credit,failed
Transfer,7614,2024-06-08,Transfer,debit,success
Travel,3732,2025-03-12,Travel,credit,failed
Food,8655,2024-07-05,Food,credit,failed
Transfer,7216,2024-09-04,Transfer,debit,failed
Health,7554,2024-02-15,Health,debit,failed
Health,9828,2024-12-15,Health,debit,failed
Shopping,8987,2024-08-30,Shopping,debit,failed
Bills,3010,2025-03-01,Bills,credit,success
Bills,6322,2024-11-22,Bills,debit,success
Shopping,2679,2024-01-11,Shopping,credit,success
Salary,77169,2024-02-05,Salary,credit,success
Shopping,9208,2024-02-05,Shopping,credit,success
Travel,5719,2024-02-10,Travel,credit,failed
Health,1382,2024-03-29,Health,credit,failed
Travel,7210,2024-03-13,Travel,credit,success
Shopping,8799,2024-01-14,Shopping,credit,failed
Entertainment,9161,2024-09-30,Entertainment,debit,failed
Salary,65290,2024-07-03,Salary,credit,success
Entertainment,6486,2024-01-02,Entertainment,debit,failed
Salary,50794,2024-02-22,Salary,credit,success
Travel,3800,2024-12-02,Travel,debit,success
Salary,76787,2025-01-28,Salary,credit,failed
Health,5180,2024-05-15,Health,debit,success
Travel,7963,2024-10-21,Travel,credit,success
Entertainment,5378,2024-04-29,Entertainment,debit,failed
Food,2703,2024-01-25,Food,credit,failed
Transfer,2551,2024-06-30,Transfer,credit,failed
Salary,46938,2024-05-23,Salary,credit,success
Entertainment,427,2024-02-28,Entertainment,credit,success
Shopping,5815,2024-03-29,Shopping,debit,success
Salary,41196,2024-08-26,Salary,credit,failed
Travel,5089,2024-12-30,Travel,debit,failed
Transfer,4046,2024-02-25,Transfer,debit,failed
Health,5958,2024-11-11,Health,credit,success
Transfer,3290,2024-06-26,Transfer,credit,success
Entertainment,5972,2025-02-09,Entertainment,debit,success
Shopping,2907,2024-11-14,Shopping,debit,success
Transfer,9191,2024-11-02,Transfer,credit,failed
Transfer,6478,2025-03-11,Transfer,credit,success
Entertainment,592,2024-10-10,Entertainment,credit,success
Shopping,5660,2024-08-30,Shopping,credit,success
Travel,8480,2024-12-29,Travel,credit,failed
Salary,62567,2025-02-16,Salary,credit,failed
Health,9599,2024-04-19,Health,debit,failed
Bills,9180,2024-01-30,Bills,credit,success
Travel,3734,2024-01-28,Travel,credit,success
Travel,9030,2024-10-24,Travel,credit,failed
Shopping,3076,2024-01-03,Shopping,debit,failed
Entertainment,1702,2024-12-04,Entertainment,debit,failed
Entertainment,9688,2024-02-20,Entertainment,debit,failed
Food,6419,2024-01-24,Food,debit,failed
Travel,4017,2024-11-25,Travel,debit,failed
Health,7474,2025-01-11,Health,debit,failed
Bills,4409,2024-08-25,Bills,credit,failed
Food,7967,2024-10-17,Food,credit,success
Health,5984,2024-08-28,Health,credit,failed
Transfer,2803,2024-11-20,Transfer,credit,success
Travel,5387,2025-03-01,Travel,credit,success
Food,1907,2024-09-13,Food,debit,success
Entertainment,4942,2025-01-30,Entertainment,debit,success
Salary,51863,2024-07-04,Salary,credit,success
Bills,9337,2024-07-27,Bills,credit,success
Shopping,5725,2024-05-11,Shopping,credit,failed
Entertainment,8419,2024-01-13,Entertainment,debit,failed
Entertainment,4221,2024-03-19,Entertainment,credit,failed
Health,4129,2024-12-21,Health,debit,failed
Food,4285,2024-09-24,Food,credit,success
Transfer,8302,2024-08-06,Transfer,credit,failed
Health,5597,2024-09-20,Health,credit,success
Bills,8350,2024-07-03,Bills,debit,success
Transfer,3566,2024-01-30,Transfer,credit,failed
Transfer,8750,2024-02-18,Transfer,debit,failed
Shopping,863,2025-01-31,Shopping,debit,success
Health,6646,2024-11-02,Health,credit,success
Food,8677,2024-08-15,Food,credit,success
Salary,64941,2024-10-21,Salary,credit,success
Food,2654,2024-10-23,Food,credit,success
Salary,37094,2025-03-26,Salary,credit,success
Food,7542,2024-03-12,Food,debit,success
Salary,60713,2024-12-17,Salary,credit,success
Transfer,3036,2024-11-16,Transfer,credit,success
Shopping,3295,2024-05-18,Shopping,credit,failed
Shopping,739,2024-08-09,Shopping,debit,failed
Food,173,2024-10-23,Food,credit,failed
Health,6673,2024-05-23,Health,credit,failed
Bills,7482,2025-01-27,Bills,credit,success
Entertainment,6642,2024-05-05,Entertainment,debit,success
Food,3271,2024-12-12,Food,credit,success
Health,5870,2024-09-08,Health,credit,success
Entertainment,5596,2024-04-28,Entertainment,debit,failed
Entertainment,8039,2024-04-23,Entertainment,debit,failed
Entertainment,7030,2024-07-19,Entertainment,credit,success
Bills,5575,2024-04-08,Bills,debit,failed
Travel,7460,2024-06-13,Travel,credit,failed
Transfer,1887,2024-03-19,Transfer,credit,failed
Entertainment,6183,2024-03-08,Entertainment,debit,success
Shopping,6606,2025-02-08,Shopping,credit,failed
Transfer,8126,2024-07-01,Transfer,debit,success
Health,2112,2024-10-30,Health,credit,failed
Travel,6197,2024-01-22,Travel,debit,failed
Health,9889,2024-06-29,Health,debit,failed
Transfer,3537,2024-06-01,Transfer,debit,success
Travel,7299,2024-03-12,Travel,credit,success
Travel,2281,2024-06-03,Travel,credit,failed
Bills,3338,2024-01-26,Bills,debit,failed
Food,2490,2024-06-18,Food,debit,failed
Food,8433,2024-12-16,Food,debit,success
Salary,41941,2024-04-05,Salary,credit,success
Transfer,8709,2024-03-15,Transfer,credit,failed
Entertainment,9134,2024-07-13,Entertainment,credit,success
Transfer,499,2024-02-17,Transfer,credit,failed
Salary,60085,2024-01-16,Salary,credit,success
Travel,843,2024-04-09,Travel,credit,success
Transfer,9183,2024-05-27,Transfer,credit,success
Food,5478,2024-09-13,Food,debit,failed
Salary,68039,2024-11-29,Salary,credit,success
Shopping,475,2024-05-24,Shopping,credit,success
Bills,9097,2024-11-01,Bills,credit,failed
Travel,759,2024-07-03,Travel,credit,failed
Food,3440,2024-07-31,Food,credit,failed
Food,9342,2024-10-18,Food,credit,success
Transfer,3481,2024-03-27,Transfer,debit,success
Entertainment,7027,2024-09-19,Entertainment,debit,failed
Transfer,9920,2024-06-01,Transfer,credit,failed
Food,4459,2025-01-08,Food,debit,success
Entertainment,5163,2024-09-17,Entertainment,credit,success
Travel,3035,2025-02-08,Travel,credit,failed
Bills,5003,2024-09-25,Bills,debit,success
Transfer,5185,2024-01-22,Transfer,credit,failed
Health,816,2024-10-31,Health,credit,success
Entertainment,6037,2024-08-04,Entertainment,debit,success
Health,957,2024-02-03,Health,debit,failed
Entertainment,2014,2024-07-19,Entertainment,debit,failed
Transfer,1917,2024-06-15,Transfer,debit,failed
Travel,564,2024-11-05,Travel,debit,failed
Bills,4247,2024-05-06,Bills,debit,failed
Shopping,1205,2025-01-15,Shopping,debit,failed
Transfer,2954,2024-01-21,Transfer,credit,failed
Food,9467,2024-03-27,Food,credit,failed
Transfer,5678,2025-01-30,Transfer,credit,success
Entertainment,6768,2024-03-24,Entertainment,debit,success
Salary,71165,2024-11-30,Salary,credit,success
Food,2268,2024-07-14,Food,debit,failed
Transfer,3533,2025-03-25,Transfer,debit,failed
Entertainment,2499,2024-01-29,Entertainment,debit,failed
Bills,8235,2024-03-12,Bills,credit,failed
Bills,9476,2024-10-14,Bills,credit,success
Bills,5519,2024-02-28,Bills,debit,failed
Transfer,9386,2024-01-24,Transfer,credit,success
Bills,9580,2024-05-12,Bills,debit,failed
Health,2154,2024-03-15,Health,credit,success
Salary,33339,2024-02-08,Salary,credit,success
Transfer,3603,2024-12-28,Transfer,credit,success
Food,938,2024-07-21,Food,credit,success
Salary,63371,2025-03-16,Salary,credit,success
Health,8804,2024-06-19,Health,credit,failed
Health,4867,2025-03-08,Health,credit,failed
Entertainment,9681,2024-12-09,Entertainment,credit,failed
Shopping,9143,2024-04-04,Shopping,credit,success
Bills,6868,2024-11-29,Bills,credit,success
Entertainment,4799,2024-03-15,Entertainment,credit,success
Salary,53928,2024-04-05,Salary,credit,success
Travel,527,2025-03-03,Travel,credit,failed
Bills,1857,2025-03-17,Bills,credit,failed
Entertainment,3028,2024-08-09,Entertainment,credit,failed
